id_proposicao;ano;tipo;numero;assunto;autores;cod_situacao
465656;2010;MSC;50;Indica o Deputado Cândido Vacarezza para exercer a função de Líder do Governo.;[('Poder Executivo', 30000, 'Órgão do Poder Executivo')];None
465659;2010;PL;6733;Institui, na República Federativa do Brasil, a data de 30 de abril, como Dia do Ferroviário.;[('Gorete Pereira', 10000, 'Deputado')];923
465661;2010;REQ;6168;"Requer a retirada de tramitação do Projeto de Lei nº 7.236/2006, que ""regulamenta a criação dos conselhos de inscrição profissional da área tecnológica"", visto que o assunto apresentado já está regulamentado na legislação.";[('Bonifácio de Andrada', 10000, 'Deputado')];1285
465662;2010;REQ;6169;"Requer a retirada de tramitação do Projeto de Lei nº 7.109/2006 que ""disciplina as atividades profissionais relacionadas com a informática"", devido ao fato de que a tendência é de se promover a plena liberdade profissional nesta área.";[('Bonifácio de Andrada', 10000, 'Deputado')];1285
465665;2010;REQ;6170;Requer a realização de sessão solene da Câmara dos Deputados, no mês de março do corrente ano, em homenagem à Campanha da Fraternidade 2010.;[('José Linhares', 10000, 'Deputado')];923
465666;2010;RIC;4667;Solicita ao Ministério da Defesa informações sobre a INFRAERO.;[('Luiz Carlos Hauly', 10000, 'Deputado')];923
465667;2010;PL;6734;Dispõe sobre a concessão de estágio nas instituição hospitalares e dá outras providências.;[('Edmar Moreira', 10000, 'Deputado')];923
465668;2010;PL;6735;Proíbe a exigência da realização do teste de gravidez e a apresentação de atestado de laqueadura, como condição de acesso de mulheres a postos de trabalho nas empresas  e dá outras providências.;[('Edmar Moreira', 10000, 'Deputado')];None
465669;2010;PL;6736;Dispõe sobre campanha antitabagismo nas escolas públicas e particulares.;[('Edmar Moreira', 10000, 'Deputado')];None
465671;2010;REQ;6171;Requer a designação de Sessão Solene para apresentação de homenagens póstumas à Dra. Zilda Arns Neumann.;[('Alceni Guerra', 10000, 'Deputado')];923
